Encrypt Time (ms),Inbuf Time (ms),Ratio
0.017,0.068,4.0
0.019,0.073,3.8421052631578947
0.002,0.012,6.0
0.019,0.074,3.8947368421052633
0.019,0.071,3.7368421052631575
0.035,0.077,2.1999999999999997
0.002,0.011,5.5
0.005,0.022,4.3999999999999995
0.002,0.011,5.5
0.003,0.028,9.333333333333334
0.001,0.009,9.0
0.002,0.011,5.5
0.004,0.019,4.75
0.026,0.112,4.307692307692308
0.02,0.086,4.3
0.016,0.066,4.125
0.001,0.007,7.0
0.004,0.024,6.0
0.003,0.015,5.0
0.002,0.009,4.5
0.005,0.025,5.0
0.002,0.01,5.0
0.002,0.013,6.5
0.002,0.01,5.0
0.015,0.073,4.866666666666666
0.011,0.068,6.1818181818181825
0.023,0.179,7.782608695652174
0.029,0.063,2.1724137931034484
0.002,0.02,10.0
0.011,0.049,4.454545454545455
0.011,0.024,2.181818181818182
0.004,0.024,6.0
0.015,0.102,6.8
0.037,0.193,5.216216216216217
0.011,0.049,4.454545454545455
0.012,0.113,9.416666666666666
0.007,0.048,6.857142857142857
0.015,0.122,8.133333333333333
0.005,0.02,4.0
0.013,0.041,3.153846153846154
0.003,0.017,5.666666666666667
0.003,0.017,5.666666666666667
0.069,0.326,4.72463768115942
0.067,0.245,3.6567164179104474
0.02,0.172,8.6
0.025,0.134,5.36
0.032,0.149,4.65625
0.044,0.101,2.295454545454546
0.03,0.047,1.5666666666666667
0.005,0.036,7.199999999999999
0.042,0.201,4.785714285714286
0.054,0.069,1.277777777777778
0.003,0.017,5.666666666666667
0.002,0.01,5.0
0.017,0.056,3.2941176470588234
0.014,0.059,4.214285714285714
0.01,0.036,3.5999999999999996
0.004,0.018,4.5
0.017,0.062,3.6470588235294117
0.022,0.077,3.5
0.007,0.036,5.142857142857142
0.016,0.061,3.8125
0.009,0.038,4.222222222222222
0.019,0.113,5.947368421052632
0.005,0.044,8.799999999999999
0.022,0.18,8.181818181818182
0.014,0.073,5.2142857142857135
0.013,0.063,4.846153846153847
0.006,0.036,5.999999999999999
0.026,0.059,2.269230769230769
0.002,0.009,4.5
0.006,0.055,9.166666666666666
0.004,0.017,4.25
0.029,0.276,9.517241379310345
0.018,0.118,6.555555555555555
0.017,0.07,4.11764705882353
0.006,0.052,8.666666666666666
0.004,0.016,4.0
0.003,0.016,5.333333333333333
0.031,0.128,4.129032258064516
0.008,0.037,4.625
0.043,0.127,2.9534883720930236
0.005,0.024,4.8
0.032,0.082,2.5625
0.008,0.026,3.25
0.003,0.024,8.0
0.004,0.036,9.0
0.008,0.017,2.125
0.002,0.011,5.5
0.002,0.009,4.5
0.002,0.008,4.0
0.002,0.017,8.5
0.003,0.017,5.666666666666667
0.003,0.017,5.666666666666667
0.004,0.019,4.75
0.003,0.016,5.333333333333333
0.018,0.058,3.2222222222222228
0.005,0.022,4.3999999999999995
0.026,0.039,1.5
0.026,0.122,4.6923076923076925
0.008,0.04,5.0
0.017,0.062,3.6470588235294117
0.006,0.026,4.333333333333333
0.003,0.022,7.333333333333333
0.018,0.121,6.722222222222222
0.011,0.077,7.0
0.032,0.175,5.468749999999999
0.051,0.096,1.8823529411764708
0.011,0.067,6.090909090909092
0.009,0.055,6.111111111111112
0.018,0.057,3.166666666666667
0.011,0.048,4.363636363636364
0.011,0.056,5.090909090909092
0.051,0.188,3.686274509803922
0.052,0.096,1.8461538461538463
0.015,0.048,3.2
0.08,0.081,1.0125
0.006,0.036,5.999999999999999
0.009,0.044,4.888888888888889
0.026,0.109,4.1923076923076925
0.011,0.079,7.1818181818181825
